 
add-none,2,100,400,161496,403,0
add-none,2,1000,4000,165482,41,0
add-none,2,10000,40000,576468,14,0
add-none,2,100000,400000,5214458,13,0
add-none,4,100,800,174926,218,0
add-none,4,1000,8000,200304,25,0
add-none,4,10000,80000,1245211,15,27
add-none,4,100000,800000,11672487,14,408
add-none,8,100,1600,308788,192,0
add-none,8,1000,16000,357886,22,14
add-none,8,10000,160000,2304087,14,70
add-none,8,100000,1600000,24301184,15,504
add-none,12,100,2400,382326,159,0
add-none,12,1000,24000,478729,19,8
add-none,12,10000,240000,3920432,16,169
add-none,12,100000,2400000,35102682,14,1995
add-yield-none,2,10,40,173470,4336,0
add-yield-none,4,10,80,209940,2624,0
add-yield-none,8,10,160,296005,1850,4
add-yield-none,12,10,240,429258,1788,1
add-yield-none,2,20,80,196918,2461,0
add-yield-none,4,20,160,234813,1467,1
add-yield-none,8,20,320,316033,987,1
add-yield-none,12,20,480,418141,871,7
add-yield-none,2,40,160,234434,1465,0
add-yield-none,4,40,320,260615,814,1
add-yield-none,8,40,640,332723,519,2
add-yield-none,12,40,960,436105,454,3
add-yield-none,2,80,320,286817,896,0
add-yield-none,4,80,640,345881,540,1
add-yield-none,8,80,1280,443568,346,2
add-yield-none,12,80,1920,578217,301,2
add-yield-none,2,100,400,314364,785,0
add-yield-none,4,100,800,376795,470,0
add-yield-none,8,100,1600,476399,297,2
add-yield-none,12,100,2400,651875,271,2
add-yield-none,2,1000,4000,2014083,503,1
add-yield-none,4,1000,8000,2060319,257,1
add-yield-none,8,1000,16000,2290907,143,1
add-yield-none,12,1000,24000,3546221,147,6
add-yield-none,2,10000,40000,18650254,466,3
add-yield-none,4,10000,80000,19640280,245,1
add-yield-none,8,10000,160000,20663262,129,3
add-yield-none,12,10000,240000,32535263,135,11
add-yield-none,2,100000,400000,184815329,462,2
add-yield-none,4,100000,800000,183999324,229,4
add-yield-none,8,100000,1600000,200600900,125,11
add-yield-none,12,100000,2400000,267578182,111,74
add-none,1,100,200,146361,731,0
add-none,1,1000,2000,155047,77,0
add-none,1,10000,20000,239881,11,0
add-none,1,100000,200000,1432460,7,0
add-none,1,1000000,2000000,12917456,6,0
add-none,2,100,400,148121,370,0
add-none,2,1000,4000,165291,41,0
add-none,2,10000,40000,580525,14,0
add-none,2,100000,400000,5697764,14,1
add-none,2,1000000,4000000,47258348,11,38
add-none,4,100,800,191942,239,0
add-none,4,1000,8000,192816,24,0
add-none,4,10000,80000,1237461,15,50
add-none,4,100000,800000,11201918,14,316
add-none,4,1000000,8000000,111958861,13,3856
add-yield-none,1,100,200,306958,1534,0
add-yield-none,1,1000,2000,1733468,866,0
add-yield-none,1,10000,20000,16265575,813,0
add-yield-none,1,100000,200000,156463062,782,0
add-yield-none,1,1000000,2000000,1554417268,777,0
add-yield-none,2,100,400,344167,860,1
add-yield-none,2,1000,4000,2022875,505,0
add-yield-none,2,10000,40000,19280521,482,0
add-yield-none,2,100000,400000,182556919,456,4
add-yield-none,2,1000000,4000000,1883352672,470,42
add-yield-none,4,100,800,375425,469,2
add-yield-none,4,1000,8000,2062129,257,0
add-yield-none,4,10000,80000,18606850,232,1
add-yield-none,4,100000,800000,197209804,246,10
add-yield-none,4,1000000,8000000,1851743332,231,49
add-yield-m,2,10000,40000,54604079,1365,0
add-yield-m,4,10000,80000,134941032,1686,0
add-yield-m,8,10000,160000,286545540,1790,0
add-yield-m,12,10000,240000,435196485,1813,0
add-yield-c,2,10000,40000,36978289,924,0
add-yield-c,4,10000,80000,73172802,914,0
add-yield-c,8,10000,160000,125423425,783,0
add-yield-c,12,10000,240000,181009582,754,0
add-yield-s,2,10000,40000,45428061,1135,0
add-yield-s,4,10000,80000,94061345,1175,0
add-yield-s,8,1000,16000,17206897,1075,0
add-yield-s,12,1000,24000,29991772,1249,0
add-m,1,10000,20000,787180,39,0
add-m,2,10000,40000,3350936,83,0
add-m,4,10000,80000,13332165,166,0
add-m,8,10000,160000,30393967,189,0
add-m,12,10000,240000,49874024,207,0
add-c,1,10000,20000,541059,27,0
add-c,2,10000,40000,2867777,71,0
add-c,4,10000,80000,6449070,80,0
add-c,8,10000,160000,14847223,92,0
add-c,12,10000,240000,20066527,83,0
add-s,1,10000,20000,437190,21,0
add-s,2,10000,40000,2378862,59,0
add-s,4,10000,80000,18749074,234,0
add-s,8,10000,160000,56031065,350,0
add-s,12,10000,240000,93118558,387,0
